,text,probability,is_ccp
1,The West Isn’t Ready for the Coming Wave of Chinese Misinformation: Report https://t.co/zD5YbjBW40,2.1913191e-08,1.0
2,"@TonyBrunoShow @KingJames @NBA @nikebasketball I'm not a big fan of basketball,but don't make sports political.Disgusting. https://t.co/INgEJeNnTc",2.764007e-08,1.0
3,"RT @AngeloG86207806: 1871 Chinatown massacre
one of the largest lynching in recent history 
Back then Chinese in USA had no right in courts…",5.285465e-08,1.0
4,"With Message For China, Dalai Lama Says His Successor May Come From India",4.0311696e-07,1.0
5,"Bannon created novel coronavirus conspiracy theory, Guo Wengui cooperate, join hands to turn the spearhead of novel coronavirus to other countries.
#DrLiMengYan #闫丽梦 #班农 https://t.co/AlK2nCBD7p",4.847097e-07,1.0
6,"@RNH00757249 @PDChina Well,I see. https://t.co/Zc8k3T67qg",6.274943e-07,1.0
7,"The claim of “since 2017, the Chinese government has rounded up over one million Uyghurs and other Turkic and Muslim people in detention camps in the Xinjiang region”is from dubious source. https://t.co/IJ1jDltNFP",9.810135e-07,1.0
8,"#DrLiMengYan、#闫丽梦、#班农 
Rumor Press Conference said they know 
where the covid-19 came from. The picture creatively express they 
lie for us ,  ~~~ I think the case it will entirely cleared. https://t.co/P5FLKiYlKe",1.1189655e-06,1.0
9,"#StopXinjiangrumors！
This “jade expert” identified jade through online video chat, it's too irresponsible!🥴
Western evil media also learn about Xinjiang through the Internet and satellite images, and they r equally irresponsible! https://t.co/NOqqdM5V9X",2.5598774e-06,1.0
10,"@Terry24492280 @OzraeliAvi Since the rising of China,many smear of China has sprout up. But when the US has became the super power,were there any body went against?",2.8075474e-06,1.0
11,@feig93779016 Go China💪💪💪,4.5306656e-06,1.0
12,@Eazzayyy @NathanRichHGDW And it violates twitter rules only if it posts some tweets for China.,5.2557994e-06,1.0
13,"Farmers are harvesting the pre-Qing Ming Tea in China's Yangzhou City, Jiangsu Province. Pre-Qing Ming Tea is usually collected before the Qingming Festival, or Tomb Sweeping Day #Qingming2019 #TombSweepingDay https://t.co/iLveimszZ8",9.098718e-06,1.0
14,A new wave of media reports on Chinese forced labor relies almost entirely on a series of dubious studies by purportedly “independent” think tanks backed by the West’s military-intelligence apparatus. https://t.co/pDwVkZVDd1,1.2577743e-05,1.0
15,@MFA_China So sad to watch this. Black life matters. https://t.co/uURjYgbxNh,1.570851e-05,1.0
16,"RT @cathiabi: @globaltimesnews @UyghurCongress If Ms. Kadeer really has the best interest of Xinjiang at heart, as a billionaire she should…",3.22636e-05,1.0
17,"@NicoleS00264634 Credit for other people as their own interests, and only Taiwan can do it",4.8842143e-05,1.0
18,"@instosammy It is really difficult to try to disrupt the development of China by creating riots in Hong Kong, so those who want to disrupt Hong Kong hope to achieve their goals by dismantling the fighting spirit of the Hong Kong police, but many Chinese people are supporting Hong Kong police",5.7083682e-05,1.0
19,Huawei: The world's most controversial company? - Soon 5G mobile internet will be everywhere. Huawei is a pioneer but is accused of being a gateway for China to spy on Western nations. Is the firm guilty? Or the victim of unfair rumours? https://t.co/Y9m6VdVR9g,8.7360895e-05,1.0
20,"@czZvHNQPEw8z6Uq The clown is not Taiwan, no morality",0.00011347121,1.0
